SMILES_Source,CSD_SMILES,CSD_SMILES,CSD_SMILES,RDKit_SMILES_EXPL,RDKit_SMILES_EXPL,RDKit_SMILES_EXPL
Method,ccdc,obabel,rdkit,ccdc,obabel,rdkit
Target,,,,,,
1_ABAHIW,0.97,0.97,0.96,0.97,0.91,0.96
2_ABAKIZ,0.96,0.89,0.72,0.97,0.74,0.96
3_ABADOX,0.92,0.89,0.95,0.92,0.87,0.92
4_ABABIP,0.94,0.93,0.93,0.94,0.89,0.93
5_GASQOK,0.86,0.80,0.80,0.87,0.72,0.86
6_ABEKIE,0.88,0.88,0.89,0.86,0.89,0.90
7_NIWPUE01,0.63,0.66,N.A.,0.66,N.A.,N.A.
8_ABEKIF,0.94,0.85,0.76,0.60,N.A.,0.84
9_APUFEX,0.95,0.90,0.86,0.94,0.93,0.85
10_ABEHAU,0.83,0.79,0.83,0.66,N.A.,0.87
11_TITTUO,0.75,0.64,0.76,0.71,N.A.,0.79
12_EGEYOG,0.66,0.75,0.85,N.A.,0.78,0.69
13_ABOBUP,0.88,0.60,0.71,0.90,0.55,0.72
14_XIDTOW,0.84,0.75,0.76,N.A.,0.67,0.72
15_ACNCOB10,0.82,N.A.,N.A.,0.82,N.A.,N.A.
16_TACXUQ,N.A.,0.83,N.A.,N.A.,0.77,N.A.
17_ACAZFE,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
18_NIVHEJ,N.A.,0.69,N.A.,N.A.,N.A.,N.A.
19_ADUPAS,0.88,0.79,N.A.,0.77,0.56,N.A.
20_DAJLAC,N.A.,N.A.,N.A.,0.93,0.74,N.A.
21_OFOWIS,0.91,0.69,0.75,0.79,0.67,N.A.
22_CATSUL,0.83,0.82,N.A.,0.85,0.76,N.A.
23_HESMUQ01,0.82,0.73,N.A.,0.82,0.66,N.A.
24_GUDQOL,0.86,0.63,N.A.,N.A.,0.78,N.A.
25_ABEVAG,0.83,N.A.,N.A.,0.86,N.A.,N.A.
26_AKOQOH,0.82,N.A.,N.A.,0.79,0.71,N.A.
27_ADARUT,0.90,0.62,N.A.,0.82,0.65,N.A.
28_AFECIA,0.78,0.70,0.85,0.85,0.66,0.84
29_ACOVUL,0.86,0.51,N.A.,0.78,0.61,N.A.
30_AFIXEV,0.75,0.80,N.A.,0.81,N.A.,N.A.
31_ABAYAF,0.82,N.A.,0.91,0.77,N.A.,N.A.
32_RULJAM,0.88,N.A.,0.84,0.83,N.A.,N.A.
