SMILES_Source,CSD_SMILES,CSD_SMILES,CSD_SMILES,RDKit_SMILES_EXPL,RDKit_SMILES_EXPL,RDKit_SMILES_EXPL
Method,ccdc,obabel,rdkit,ccdc,obabel,rdkit
Target,,,,,,
1_ABAHIW,0.97,0.97,0.96,0.97,0.91,0.96
2_ABAKIZ,0.96,0.91,0.96,0.97,0.76,0.89
3_ABADOX,0.92,0.89,0.92,0.92,0.87,0.91
4_ABABIP,0.94,0.93,0.93,0.94,0.89,0.93
5_GASQOK,0.86,0.80,0.80,0.87,0.72,0.80
6_ABEKIE,0.88,0.84,0.91,0.86,0.89,0.91
7_NIWPUE01,0.85,0.66,N.A.,0.74,N.A.,N.A.
8_ABEKIF,0.83,0.85,0.77,0.59,N.A.,0.86
9_APUFEX,0.95,0.91,0.84,0.94,0.93,0.85
10_ABEHAU,0.88,0.79,0.84,N.A.,N.A.,0.85
11_TITTUO,0.83,0.64,0.78,0.70,N.A.,0.88
12_EGEYOG,0.66,0.51,0.73,N.A.,0.64,0.65
13_ABOBUP,0.88,0.68,0.81,0.90,0.51,0.73
14_XIDTOW,0.84,0.75,0.82,N.A.,0.67,0.79
15_ACNCOB10,0.91,N.A.,N.A.,0.83,N.A.,N.A.
16_TACXUQ,N.A.,0.83,N.A.,N.A.,0.81,N.A.
17_ACAZFE,0.76,N.A.,N.A.,0.86,N.A.,N.A.
18_NIVHEJ,N.A.,0.69,N.A.,0.84,N.A.,N.A.
19_ADUPAS,0.82,0.72,N.A.,0.80,0.74,N.A.
20_DAJLAC,0.85,N.A.,N.A.,0.90,0.70,N.A.
21_OFOWIS,0.84,0.65,0.79,0.73,0.79,N.A.
22_CATSUL,0.79,0.82,N.A.,0.83,0.80,N.A.
23_HESMUQ01,0.86,0.73,N.A.,0.80,0.63,N.A.
24_GUDQOL,0.90,0.61,N.A.,0.84,0.80,N.A.
25_ABEVAG,0.84,N.A.,N.A.,0.84,N.A.,N.A.
26_AKOQOH,0.87,N.A.,N.A.,0.76,0.76,N.A.
27_ADARUT,0.89,0.70,N.A.,0.79,0.71,N.A.
28_AFECIA,N.A.,0.69,0.85,0.86,0.69,0.83
29_ACOVUL,0.82,0.65,N.A.,0.81,0.70,N.A.
30_AFIXEV,0.86,0.81,N.A.,0.75,N.A.,N.A.
31_ABAYAF,0.85,N.A.,0.90,0.82,N.A.,N.A.
32_RULJAM,N.A.,N.A.,0.89,0.83,N.A.,N.A.
