SMILES_Source,CSD_SMILES,CSD_SMILES,CSD_SMILES,RDKit_SMILES_EXPL,RDKit_SMILES_EXPL,RDKit_SMILES_EXPL
Method,ccdc,obabel,rdkit,ccdc,obabel,rdkit
Target,,,,,,
1_ABAHIW,0.97,0.97,0.96,0.97,0.91,0.96
2_ABAKIZ,0.96,0.89,0.70,0.97,0.85,0.96
3_ABADOX,0.92,0.89,0.95,0.92,0.87,0.89
4_ABABIP,0.94,0.93,0.93,0.94,0.89,0.93
5_GASQOK,0.86,0.80,0.86,0.87,0.72,0.80
6_ABEKIE,0.88,0.87,0.86,0.86,0.89,0.91
7_NIWPUE01,0.81,0.66,N.A.,0.67,N.A.,N.A.
8_ABEKIF,0.79,0.85,0.92,0.58,N.A.,0.84
9_APUFEX,0.95,0.90,0.85,0.94,0.93,0.83
10_ABEHAU,0.82,0.80,0.81,0.67,N.A.,0.86
11_TITTUO,0.72,0.70,0.78,N.A.,N.A.,0.79
12_EGEYOG,0.66,0.55,0.78,N.A.,0.63,0.64
13_ABOBUP,0.88,0.71,0.70,0.90,0.52,0.70
14_XIDTOW,0.84,0.77,0.75,N.A.,0.62,0.79
15_ACNCOB10,N.A.,N.A.,N.A.,0.84,N.A.,N.A.
16_TACXUQ,0.72,0.76,N.A.,N.A.,0.82,N.A.
17_ACAZFE,0.76,N.A.,N.A.,0.86,N.A.,N.A.
18_NIVHEJ,0.75,0.69,N.A.,0.87,N.A.,N.A.
19_ADUPAS,0.82,0.80,N.A.,0.80,0.60,N.A.
20_DAJLAC,0.87,N.A.,N.A.,0.92,0.82,N.A.
21_OFOWIS,0.84,0.73,0.80,0.73,0.67,N.A.
22_CATSUL,N.A.,0.78,N.A.,0.80,0.83,N.A.
23_HESMUQ01,0.82,0.73,N.A.,0.78,0.71,N.A.
24_GUDQOL,0.88,0.68,N.A.,0.87,0.71,N.A.
25_ABEVAG,0.83,N.A.,N.A.,0.86,N.A.,N.A.
26_AKOQOH,0.77,N.A.,N.A.,0.77,0.81,N.A.
27_ADARUT,0.82,0.62,N.A.,0.82,0.70,N.A.
28_AFECIA,0.79,0.78,0.83,0.90,0.67,0.86
29_ACOVUL,0.94,0.59,N.A.,N.A.,0.71,N.A.
30_AFIXEV,0.86,0.83,N.A.,0.83,N.A.,N.A.
31_ABAYAF,0.86,N.A.,0.90,0.82,N.A.,N.A.
32_RULJAM,0.81,N.A.,0.84,0.82,N.A.,N.A.
