SMILES_Source,CSD_SMILES,CSD_SMILES,CSD_SMILES,RDKit_SMILES_EXPL,RDKit_SMILES_EXPL,RDKit_SMILES_EXPL
Method,ccdc,obabel,rdkit,ccdc,obabel,rdkit
Target,,,,,,
1_ABAHIW,0.97,0.97,0.96,0.97,0.91,0.96
2_ABAKIZ,0.96,0.94,0.96,0.97,0.85,0.89
3_ABADOX,0.92,0.89,0.95,0.92,0.87,0.89
4_ABABIP,0.94,0.93,0.93,0.94,0.89,0.93
5_GASQOK,0.86,0.80,0.82,0.87,0.72,0.94
6_ABEKIE,0.88,0.86,0.94,0.86,0.89,0.93
7_NIWPUE01,0.77,0.66,N.A.,0.85,N.A.,N.A.
8_ABEKIF,0.91,0.85,0.77,0.60,N.A.,0.85
9_APUFEX,0.95,0.91,0.82,0.94,0.93,0.82
10_ABEHAU,0.81,0.82,0.80,0.66,N.A.,0.82
11_TITTUO,0.77,0.65,0.76,N.A.,N.A.,0.85
12_EGEYOG,0.66,0.51,0.59,N.A.,0.81,0.59
13_ABOBUP,0.88,0.58,0.71,0.90,0.52,0.72
14_XIDTOW,0.84,0.81,0.82,N.A.,0.67,0.73
15_ACNCOB10,0.83,N.A.,N.A.,0.90,N.A.,N.A.
16_TACXUQ,0.84,0.85,N.A.,N.A.,0.81,N.A.
17_ACAZFE,N.A.,N.A.,N.A.,0.86,N.A.,N.A.
18_NIVHEJ,0.75,0.69,N.A.,0.83,N.A.,N.A.
19_ADUPAS,N.A.,0.67,N.A.,N.A.,0.62,N.A.
20_DAJLAC,0.80,N.A.,N.A.,0.90,0.73,N.A.
21_OFOWIS,0.83,0.71,0.87,0.72,0.68,N.A.
22_CATSUL,0.78,0.80,N.A.,0.85,0.77,N.A.
23_HESMUQ01,0.78,0.73,N.A.,0.83,0.66,N.A.
24_GUDQOL,0.84,0.66,N.A.,0.82,0.76,N.A.
25_ABEVAG,0.86,N.A.,N.A.,N.A.,N.A.,N.A.
26_AKOQOH,0.82,N.A.,N.A.,0.73,0.74,N.A.
27_ADARUT,0.85,0.68,N.A.,0.80,0.65,N.A.
28_AFECIA,0.83,0.75,0.84,0.90,0.65,0.86
29_ACOVUL,0.85,0.68,N.A.,0.82,0.51,N.A.
30_AFIXEV,0.86,0.84,N.A.,N.A.,N.A.,N.A.
31_ABAYAF,N.A.,N.A.,0.87,0.85,N.A.,N.A.
32_RULJAM,0.72,N.A.,0.80,0.83,N.A.,N.A.
