SMILES_Source,CSD_SMILES,CSD_SMILES,CSD_SMILES,RDKit_SMILES_EXPL,RDKit_SMILES_EXPL,RDKit_SMILES_EXPL
Method,ccdc,obabel,rdkit,ccdc,obabel,rdkit
Target,,,,,,
1_ABAHIW,0.97,0.97,0.96,0.97,0.92,0.96
2_ABAKIZ,0.96,0.96,0.96,0.97,0.75,0.96
3_ABADOX,0.92,0.89,0.91,0.92,0.87,0.95
4_ABABIP,0.94,0.93,0.93,0.94,0.89,0.93
5_GASQOK,0.86,0.80,0.80,0.87,0.72,0.79
6_ABEKIE,0.88,0.86,0.88,0.86,0.89,0.91
7_NIWPUE01,0.72,0.66,N.A.,0.75,N.A.,N.A.
8_ABEKIF,0.91,0.85,0.76,0.59,N.A.,0.84
9_APUFEX,0.95,0.90,0.84,0.94,0.93,0.82
10_ABEHAU,0.85,0.82,0.86,0.67,N.A.,0.87
11_TITTUO,0.78,0.68,0.82,0.71,N.A.,0.90
12_EGEYOG,0.66,0.76,0.63,N.A.,0.81,0.61
13_ABOBUP,0.88,0.59,0.70,0.90,0.57,0.72
14_XIDTOW,0.84,0.85,0.82,N.A.,0.67,0.80
15_ACNCOB10,N.A.,N.A.,N.A.,0.86,N.A.,N.A.
16_TACXUQ,N.A.,0.87,N.A.,N.A.,0.78,N.A.
17_ACAZFE,N.A.,N.A.,N.A.,0.86,N.A.,N.A.
18_NIVHEJ,N.A.,0.69,N.A.,0.92,N.A.,N.A.
19_ADUPAS,N.A.,0.74,N.A.,N.A.,0.55,N.A.
20_DAJLAC,0.88,N.A.,N.A.,0.93,0.75,N.A.
21_OFOWIS,0.91,0.71,0.90,0.74,0.76,N.A.
22_CATSUL,0.83,0.80,N.A.,0.84,0.81,N.A.
23_HESMUQ01,0.80,0.73,N.A.,0.79,0.73,N.A.
24_GUDQOL,0.90,0.66,N.A.,N.A.,0.72,N.A.
25_ABEVAG,0.75,N.A.,N.A.,0.86,N.A.,N.A.
26_AKOQOH,0.74,N.A.,N.A.,0.69,0.70,N.A.
27_ADARUT,0.87,0.65,N.A.,0.82,0.65,N.A.
28_AFECIA,0.84,0.75,0.83,0.86,0.70,0.83
29_ACOVUL,0.85,0.53,N.A.,0.93,0.50,N.A.
30_AFIXEV,0.80,0.80,N.A.,0.80,N.A.,N.A.
31_ABAYAF,0.85,N.A.,0.87,N.A.,N.A.,N.A.
32_RULJAM,0.86,N.A.,0.88,N.A.,N.A.,N.A.
